,ra,dec,z,mag_auto_g_dered,mag_auto_r_dered,mag_auto_i_dered,mag_auto_z_dered,mag_auto_y_dered,magerr_auto_g,magerr_auto_r,magerr_auto_i,magerr_auto_z,magerr_auto_y
1734,334.979984,-0.483818,0.5187,22.42825698852539,21.550987243652344,21.430925369262695,21.28954315185547,21.859580993652344,0.048820849508047104,0.029241442680358887,0.04134168103337288,0.05760449543595314,0.45258083939552307
1735,334.978178,-0.344987,0.5286,21.60890007019043,20.412023544311523,19.93817710876465,19.667770385742188,19.45602035522461,0.025140516459941864,0.010842337273061275,0.010693206451833248,0.01595141366124153,0.05004088953137398
1736,334.977958,-0.463728,0.2141,21.739700317382812,21.21449851989746,21.04250144958496,20.962757110595703,21.45831871032715,0.03378527984023094,0.026562608778476715,0.034867867827415466,0.057439688593149185,0.35333696007728577
1737,334.9858,-0.46322,0.2519,22.72091293334961,22.08677101135254,21.974287033081055,21.608278274536133,21.756275177001953,0.06201479583978653,0.045146144926548004,0.061834584921598434,0.07715992629528046,0.3801399767398834
1738,334.226064,0.773854,0.5101,21.484704971313477,20.54903793334961,20.213254928588867,19.964658737182617,19.746126174926758,0.017023615539073944,0.009882294572889805,0.011449044570326805,0.017443541437387466,0.04571203142404556
1739,334.649951,-0.342689,0.8685,23.755794525146484,22.676607131958008,21.91707420349121,21.57777976989746,21.458877563476562,0.13598714768886566,0.06119821220636368,0.04593568667769432,0.06281061470508575,0.21020399034023285
1740,334.455522,-0.03225,0.4061,23.773181915283203,22.54551887512207,22.240697860717773,22.382793426513672,23.61810302734375,0.13024640083312988,0.05625667795538902,0.06518127024173737,0.15118330717086792,1.497593641281128
1741,335.231641,1.167556,0.676,23.411027908325195,22.46080780029297,22.008216857910156,21.798545837402344,21.449352264404297,0.10519200563430786,0.06338520348072052,0.07436581701040268,0.10184267908334732,0.25965502858161926
1742,334.616594,-0.311208,0.5382,22.32779884338379,21.293066024780273,20.934886932373047,20.633190155029297,20.694894790649414,0.042416468262672424,0.020554976537823677,0.021925432607531548,0.03158885985612869,0.11954653263092041
1743,335.00608,-0.479305,0.5904,23.024974822998047,21.61496925354004,21.00391960144043,20.618993759155273,20.467992782592773,0.08064595609903336,0.02718253619968891,0.02458939515054226,0.028833385556936264,0.11616896092891693
1744,335.10758,-0.305279,0.5921,22.74964141845703,21.848892211914062,21.532081604003906,21.389583587646484,21.437246322631836,0.04770325869321823,0.027844538912177086,0.03219713270664215,0.05496342480182648,0.20491956174373627
1745,334.44077,-0.020878,0.2091,20.266448974609375,19.514720916748047,19.200746536254883,19.026145935058594,19.046337127685547,0.010129164904356003,0.006447315216064453,0.007123246788978577,0.011837410740554333,0.04331134632229805
1746,334.201167,0.308026,0.2917,23.054929733276367,22.581024169921875,22.307241439819336,21.99461555480957,21.999635696411133,0.0718483254313469,0.0617702417075634,0.07332722097635269,0.11430353671312332,0.34400880336761475
1747,334.639174,-0.31131,0.4293,22.487834930419922,21.683326721191406,21.6025333404541,21.333086013793945,21.703433990478516,0.05216072127223015,0.03219025209546089,0.04489799961447716,0.06795738637447357,0.31668761372566223
1748,333.780422,0.886722,0.2864,22.77570343017578,22.162425994873047,22.016427993774414,22.052343368530273,22.229185104370117,0.049642421305179596,0.0372554287314415,0.04986703023314476,0.09660033136606216,0.3647455871105194
1749,334.21268,0.344869,0.9067,23.230066299438477,22.588281631469727,21.948617935180664,21.754411697387695,21.484899520874023,0.06191268563270569,0.048409026116132736,0.04062913730740547,0.06773259490728378,0.19813479483127594
1750,335.159173,-0.341473,0.7613,24.734569549560547,23.148109436035156,22.184040069580078,21.657207489013672,21.10284996032715,0.3265845477581024,0.09472986310720444,0.06011470407247543,0.06827932596206665,0.15462905168533325
